DEBUG 2025-03-07 04:30:43,309 ecs_app 27 views 30091 6168506368 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 04:30:43,310 ecs_app 30 views 30091 6168506368 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 04:30:43,310 ecs_app 48 views 30091 6168506368 ✅ FAISS index initialized with 1 entries.
DEBUG 2025-03-07 04:30:43,422 ecs_app 27 views 30091 6168506368 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 04:30:43,422 ecs_app 30 views 30091 6168506368 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 04:31:56,694 ecs_app 19 views 30555 8430225472 🔄 Loading AI Models...
INFO 2025-03-07 04:31:59,918 ecs_app 22 views 30555 8430225472 ✅ AI Models Loaded Successfully!
INFO 2025-03-07 04:32:11,957 ecs_app 151 views 30555 6389608448 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 04:32:11,957 ecs_app 157 views 30555 6389608448 🔍 Processing log field: account_name
INFO 2025-03-07 04:32:11,961 ecs_app 161 views 30555 6389608448 ✅ Using stored mapping: account_name -> 'user.name'
DEBUG 2025-03-07 04:32:11,961 ecs_app 157 views 30555 6389608448 🔍 Processing log field: severity
INFO 2025-03-07 04:32:11,962 ecs_app 61 views 30555 6389608448 🔍 Searching for similar ECS mappings for: severity
DEBUG 2025-03-07 04:32:11,962 ecs_app 54 views 30555 6389608448 📡 Retrieving FAISS index...
INFO 2025-03-07 04:32:11,962 ecs_app 36 views 30555 6389608448 🔄 Initializing FAISS index...
DEBUG 2025-03-07 04:32:11,962 ecs_app 27 views 30555 6389608448 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 04:32:11,962 ecs_app 30 views 30555 6389608448 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 04:32:11,963 ecs_app 48 views 30555 6389608448 ✅ FAISS index initialized with 1 entries.
DEBUG 2025-03-07 04:32:12,057 ecs_app 27 views 30555 6389608448 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 04:32:12,058 ecs_app 30 views 30555 6389608448 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 04:32:12,066 ecs_app 87 views 30555 6389608448 ✅ Found 3 similar mappings for 'severity'.
INFO 2025-03-07 04:32:12,066 ecs_app 168 views 30555 6389608448 🎯 Found similar mapping: severity -> 'user.name'
INFO 2025-03-07 06:04:41,191 ecs_app 19 views 66831 6179336192 🔄 Loading AI Models...
INFO 2025-03-07 06:04:44,796 ecs_app 22 views 66831 6179336192 ✅ AI Models Loaded Successfully!
INFO 2025-03-07 06:04:55,474 ecs_app 151 views 66831 6247739392 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 06:04:55,474 ecs_app 157 views 66831 6247739392 🔍 Processing log field: account_name
INFO 2025-03-07 06:04:55,477 ecs_app 161 views 66831 6247739392 ✅ Using stored mapping: account_name -> 'user.name'
DEBUG 2025-03-07 06:04:55,477 ecs_app 157 views 66831 6247739392 🔍 Processing log field: severity
INFO 2025-03-07 06:04:55,478 ecs_app 61 views 66831 6247739392 🔍 Searching for similar ECS mappings for: severity
DEBUG 2025-03-07 06:04:55,478 ecs_app 54 views 66831 6247739392 📡 Retrieving FAISS index...
INFO 2025-03-07 06:04:55,478 ecs_app 36 views 66831 6247739392 🔄 Initializing FAISS index...
DEBUG 2025-03-07 06:04:55,478 ecs_app 27 views 66831 6247739392 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 06:04:55,478 ecs_app 30 views 66831 6247739392 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 06:04:55,479 ecs_app 48 views 66831 6247739392 ✅ FAISS index initialized with 1 entries.
DEBUG 2025-03-07 06:04:55,635 ecs_app 27 views 66831 6247739392 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 06:04:55,636 ecs_app 30 views 66831 6247739392 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 06:04:55,643 ecs_app 87 views 66831 6247739392 ✅ Found 3 similar mappings for 'severity'.
INFO 2025-03-07 06:04:55,644 ecs_app 168 views 66831 6247739392 🎯 Found similar mapping: severity -> 'user.name'
INFO 2025-03-07 06:05:11,009 ecs_app 151 views 66831 6247739392 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 06:05:11,009 ecs_app 157 views 66831 6247739392 🔍 Processing log field: account_name
INFO 2025-03-07 06:05:11,013 ecs_app 161 views 66831 6247739392 ✅ Using stored mapping: account_name -> 'user.name'
DEBUG 2025-03-07 06:05:11,013 ecs_app 157 views 66831 6247739392 🔍 Processing log field: severity
INFO 2025-03-07 06:05:11,014 ecs_app 61 views 66831 6247739392 🔍 Searching for similar ECS mappings for: severity
DEBUG 2025-03-07 06:05:11,014 ecs_app 54 views 66831 6247739392 📡 Retrieving FAISS index...
INFO 2025-03-07 06:05:11,014 ecs_app 36 views 66831 6247739392 🔄 Initializing FAISS index...
DEBUG 2025-03-07 06:05:11,014 ecs_app 27 views 66831 6247739392 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 06:05:11,014 ecs_app 30 views 66831 6247739392 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 06:05:11,015 ecs_app 48 views 66831 6247739392 ✅ FAISS index initialized with 1 entries.
DEBUG 2025-03-07 06:05:11,060 ecs_app 27 views 66831 6247739392 📥 Fetching all ECS mappings from the database...
DEBUG 2025-03-07 06:05:11,061 ecs_app 30 views 66831 6247739392 📋 Retrieved 1 mappings from the database.
INFO 2025-03-07 06:05:11,061 ecs_app 87 views 66831 6247739392 ✅ Found 3 similar mappings for 'severity'.
INFO 2025-03-07 06:05:11,061 ecs_app 168 views 66831 6247739392 🎯 Found similar mapping: severity -> 'user.name'
INFO 2025-03-07 06:11:22,983 ecs_app 19 views 68856 6116143104 🔄 Loading AI Models...
INFO 2025-03-07 06:11:26,248 ecs_app 22 views 68856 6116143104 ✅ AI Models Loaded Successfully!
INFO 2025-03-07 06:11:39,824 ecs_app 173 views 68856 13035925504 📩 Received API request for ECS mapping.
DEBUG 2025-03-07 06:11:39,824 ecs_app 178 views 68856 13035925504 🔍 Processing log field: account_name
DEBUG 2025-03-07 06:11:39,824 ecs_app 37 views 68856 13035925504 🔍 Checking for stored mapping: account_name
INFO 2025-03-07 06:11:39,829 ecs_app 40 views 68856 13035925504 ✅ Found stored mapping: account_name -> 'user.name'
DEBUG 2025-03-07 06:11:39,829 ecs_app 178 views 68856 13035925504 🔍 Processing log field: severity
DEBUG 2025-03-07 06:11:39,830 ecs_app 37 views 68856 13035925504 🔍 Checking for stored mapping: severity
INFO 2025-03-07 06:11:39,830 ecs_app 42 views 68856 13035925504 ❌ No stored mapping found for: severity
